V = 186, E = 203
out_asc_forward 3 [('154', '215'), ('42', '99'), ('225', '76')]
out_desc_forward 3 [('154', '215'), ('42', '99'), ('76', '225')]
in_asc_forward 3 [('154', '215'), ('42', '99'), ('76', '225')]
in_desc_forward 3 [('154', '215'), ('42', '99'), ('225', '76')]
random_forward 3 [('154', '215'), ('42', '99'), ('225', '76')]
greedy1_forward 3 [('154', '215'), ('42', '99'), ('225', '76')]
greedy2_forward 3 [('154', '215'), ('42', '99'), ('225', '76')]
out_asc_backward 3 [('154', '215'), ('42', '99'), ('76', '225')]
out_desc_backward 3 [('154', '215'), ('42', '99'), ('225', '76')]
in_asc_backward 3 [('154', '215'), ('42', '99'), ('225', '76')]
in_desc_backward 3 [('154', '215'), ('42', '99'), ('76', '225')]
random_backward 3 [('154', '215'), ('42', '99'), ('76', '225')]
greedy1_backward 3 [('154', '215'), ('42', '99'), ('76', '225')]
greedy2_backward 3 [('154', '215'), ('42', '99'), ('76', '225')]
Execution time: 0.004309415817260742 ms
