V = 800, E = 880
out_asc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
out_desc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_asc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_desc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
random_forward 4 [('65', '438'), ('791', '355'), ('167', '617'), ('184', '141')]
greedy1_forward 4 [('65', '438'), ('791', '355'), ('167', '617'), ('184', '141')]
greedy2_forward 4 [('65', '438'), ('791', '355'), ('167', '617'), ('184', '141')]
out_asc_backward 4 [('635', '65'), ('342', '12'), ('57', '153'), ('141', '129')]
out_desc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_asc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_desc_backward 4 [('635', '65'), ('342', '12'), ('57', '153'), ('141', '129')]
random_backward 4 [('635', '65'), ('755', '791'), ('618', '167'), ('129', '184')]
greedy1_backward 4 [('635', '65'), ('755', '791'), ('618', '167'), ('129', '184')]
greedy2_backward 4 [('635', '65'), ('755', '791'), ('618', '167'), ('129', '184')]
Execution time: 0.026405811309814453 ms
