V = 450, E = 495
out_asc_forward 3 [('14', '204'), ('385', '304'), ('46', '288')]
out_desc_forward 3 [('123', '14'), ('441', '385'), ('136', '46')]
in_asc_forward 3 [('123', '14'), ('441', '385'), ('136', '46')]
in_desc_forward 3 [('14', '204'), ('385', '304'), ('46', '288')]
random_forward 3 [('123', '14'), ('441', '385'), ('46', '288')]
greedy1_forward 3 [('123', '14'), ('441', '385'), ('46', '288')]
greedy2_forward 3 [('123', '14'), ('441', '385'), ('46', '288')]
out_asc_backward 3 [('123', '14'), ('441', '385'), ('136', '46')]
out_desc_backward 3 [('204', '123'), ('304', '441'), ('288', '136')]
in_asc_backward 3 [('204', '123'), ('304', '441'), ('288', '136')]
in_desc_backward 3 [('123', '14'), ('441', '385'), ('136', '46')]
random_backward 3 [('204', '123'), ('304', '441'), ('136', '46')]
greedy1_backward 3 [('204', '123'), ('304', '441'), ('136', '46')]
greedy2_backward 3 [('204', '123'), ('304', '441'), ('136', '46')]
Execution time: 0.00993800163269043 ms
