V = 124, E = 115
out_asc_forward 3 [('77', '58'), ('81', '18'), ('51', '134')]
out_desc_forward 3 [('77', '58'), ('81', '18'), ('71', '51')]
in_asc_forward 3 [('77', '58'), ('81', '18'), ('71', '51')]
in_desc_forward 3 [('77', '58'), ('81', '18'), ('51', '134')]
random_forward 3 [('77', '58'), ('81', '18'), ('134', '71')]
greedy1_forward 3 [('77', '58'), ('81', '18'), ('134', '71')]
greedy2_forward 3 [('77', '58'), ('81', '18'), ('134', '71')]
out_asc_backward 3 [('77', '58'), ('81', '18'), ('71', '51')]
out_desc_backward 3 [('77', '58'), ('81', '18'), ('134', '71')]
in_asc_backward 3 [('77', '58'), ('81', '18'), ('134', '71')]
in_desc_backward 3 [('77', '58'), ('81', '18'), ('71', '51')]
random_backward 3 [('77', '58'), ('81', '18'), ('51', '134')]
greedy1_backward 3 [('77', '58'), ('81', '18'), ('51', '134')]
greedy2_backward 3 [('77', '58'), ('81', '18'), ('51', '134')]
Execution time: 0.002145051956176758 ms
