V = 728, E = 727
out_asc_forward 2 [('430', '240'), ('132', '192')]
out_desc_forward 2 [('430', '240'), ('567', '497')]
in_asc_forward 2 [('430', '240'), ('567', '497')]
in_desc_forward 2 [('430', '240'), ('132', '192')]
random_forward 2 [('430', '240'), ('794', '567')]
greedy1_forward 2 [('430', '240'), ('794', '567')]
greedy2_forward 2 [('430', '240'), ('794', '567')]
out_asc_backward 2 [('430', '240'), ('497', '132')]
out_desc_backward 2 [('430', '240'), ('794', '567')]
in_asc_backward 2 [('430', '240'), ('794', '567')]
in_desc_backward 2 [('430', '240'), ('497', '132')]
random_backward 2 [('430', '240'), ('192', '794')]
greedy1_backward 2 [('430', '240'), ('192', '794')]
greedy2_backward 2 [('430', '240'), ('192', '794')]
Execution time: 0.02737140655517578 ms
