V = 560, E = 690
out_asc_forward 2 [('54', '460'), ('69', '626')]
out_desc_forward 2 [('329', '261'), ('607', '69')]
in_asc_forward 2 [('329', '261'), ('607', '69')]
in_desc_forward 2 [('54', '460'), ('69', '626')]
random_forward 2 [('508', '245'), ('69', '626')]
greedy1_forward 2 [('508', '245'), ('69', '626')]
greedy2_forward 2 [('508', '245'), ('69', '626')]
out_asc_backward 2 [('88', '54'), ('607', '69')]
out_desc_backward 2 [('210', '329'), ('196', '607')]
in_asc_backward 2 [('210', '329'), ('196', '607')]
in_desc_backward 2 [('88', '54'), ('607', '69')]
random_backward 2 [('261', '508'), ('607', '69')]
greedy1_backward 2 [('261', '508'), ('607', '69')]
greedy2_backward 2 [('261', '508'), ('607', '69')]
Execution time: 0.013178825378417969 ms
