V = 150, E = 225
out_asc_forward 4 [('29', '124'), ('59', '146'), ('92', '142'), ('9', '28')]
out_desc_forward 4 [('147', '29'), ('146', '57'), ('142', '92'), ('109', '9')]
in_asc_forward 4 [('147', '29'), ('146', '57'), ('142', '92'), ('109', '9')]
in_desc_forward 4 [('29', '124'), ('59', '146'), ('92', '142'), ('9', '28')]
random_forward 4 [('147', '29'), ('57', '52'), ('92', '142'), ('36', '109')]
greedy1_forward 4 [('147', '29'), ('57', '52'), ('92', '142'), ('36', '109')]
greedy2_forward 4 [('147', '29'), ('57', '52'), ('92', '142'), ('36', '109')]
out_asc_backward 4 [('147', '29'), ('34', '59'), ('142', '92'), ('109', '9')]
out_desc_backward 4 [('124', '147'), ('59', '146'), ('92', '142'), ('36', '109')]
in_asc_backward 4 [('124', '147'), ('59', '146'), ('92', '142'), ('36', '109')]
in_desc_backward 4 [('147', '29'), ('34', '59'), ('142', '92'), ('109', '9')]
random_backward 4 [('124', '147'), ('146', '57'), ('142', '92'), ('28', '36')]
greedy1_backward 4 [('124', '147'), ('146', '57'), ('142', '92'), ('28', '36')]
greedy2_backward 4 [('124', '147'), ('146', '57'), ('142', '92'), ('28', '36')]
Execution time: 0.0029036998748779297 ms
