V = 40, E = 50
out_asc_forward 3 [('1', '39'), ('31', '23'), ('27', '15')]
out_desc_forward 3 [('24', '17'), ('23', '19'), ('15', '11')]
in_asc_forward 3 [('24', '17'), ('23', '19'), ('15', '11')]
in_desc_forward 3 [('1', '39'), ('31', '23'), ('27', '15')]
random_forward 3 [('1', '39'), ('19', '31'), ('27', '15')]
greedy1_forward 3 [('1', '39'), ('19', '31'), ('27', '15')]
greedy2_forward 3 [('1', '39'), ('19', '31'), ('27', '15')]
out_asc_backward 3 [('18', '1'), ('19', '31'), ('11', '27')]
out_desc_backward 3 [('39', '24'), ('31', '23'), ('27', '15')]
in_asc_backward 3 [('39', '24'), ('31', '23'), ('27', '15')]
in_desc_backward 3 [('18', '1'), ('19', '31'), ('11', '27')]
random_backward 3 [('18', '1'), ('23', '19'), ('11', '27')]
greedy1_backward 3 [('18', '1'), ('23', '19'), ('11', '27')]
greedy2_backward 3 [('18', '1'), ('23', '19'), ('11', '27')]
Execution time: 0.0015101432800292969 ms
