V = 480, E = 528
out_asc_forward 2 [('3', '203'), ('120', '311')]
out_desc_forward 2 [('401', '130'), ('311', '120')]
in_asc_forward 2 [('401', '130'), ('311', '120')]
in_desc_forward 2 [('3', '203'), ('120', '311')]
random_forward 2 [('203', '425'), ('120', '311')]
greedy1_forward 2 [('203', '425'), ('120', '311')]
greedy2_forward 2 [('203', '425'), ('120', '311')]
out_asc_backward 2 [('187', '3'), ('311', '120')]
out_desc_backward 2 [('274', '401'), ('120', '311')]
in_asc_backward 2 [('274', '401'), ('120', '311')]
in_desc_backward 2 [('187', '3'), ('311', '120')]
random_backward 2 [('3', '203'), ('311', '120')]
greedy1_backward 2 [('3', '203'), ('311', '120')]
greedy2_backward 2 [('3', '203'), ('311', '120')]
Execution time: 0.012323141098022461 ms
