V = 800, E = 880
out_asc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
out_desc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_asc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_desc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
random_forward 4 [('438', '116'), ('592', '240'), ('617', '57'), ('141', '129')]
greedy1_forward 4 [('438', '116'), ('592', '240'), ('617', '57'), ('141', '129')]
greedy2_forward 4 [('438', '116'), ('592', '240'), ('617', '57'), ('141', '129')]
out_asc_backward 4 [('635', '65'), ('342', '12'), ('57', '153'), ('141', '129')]
out_desc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_asc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_desc_backward 4 [('635', '65'), ('342', '12'), ('57', '153'), ('141', '129')]
random_backward 4 [('65', '438'), ('355', '592'), ('167', '617'), ('184', '141')]
greedy1_backward 4 [('65', '438'), ('355', '592'), ('167', '617'), ('184', '141')]
greedy2_backward 4 [('65', '438'), ('355', '592'), ('167', '617'), ('184', '141')]
Execution time: 0.02611541748046875 ms
