V = 414, E = 410
out_asc_forward 2 [('140', '372'), ('23', '167')]
out_desc_forward 2 [('140', '372'), ('155', '101')]
in_asc_forward 2 [('140', '372'), ('155', '101')]
in_desc_forward 2 [('140', '372'), ('23', '167')]
random_forward 2 [('140', '372'), ('40', '23')]
greedy1_forward 2 [('140', '372'), ('40', '23')]
greedy2_forward 2 [('140', '372'), ('40', '23')]
out_asc_backward 2 [('140', '372'), ('40', '23')]
out_desc_backward 2 [('140', '372'), ('167', '155')]
in_asc_backward 2 [('140', '372'), ('167', '155')]
in_desc_backward 2 [('140', '372'), ('40', '23')]
random_backward 2 [('140', '372'), ('101', '40')]
greedy1_backward 2 [('140', '372'), ('101', '40')]
greedy2_backward 2 [('140', '372'), ('101', '40')]
Execution time: 0.012207269668579102 ms
