V = 191, E = 270
out_asc_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('6', '110')]
out_desc_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('185', '10')]
in_asc_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('185', '10')]
in_desc_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('6', '110')]
random_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('185', '10')]
greedy1_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('185', '10')]
greedy2_forward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('185', '10')]
out_asc_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('112', '6')]
out_desc_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('221', '185')]
in_asc_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('221', '185')]
in_desc_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('112', '6')]
random_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('221', '185')]
greedy1_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('221', '185')]
greedy2_backward 4 [('102', '161'), ('47', '65'), ('144', '158'), ('221', '185')]
Execution time: 0.00404667854309082 ms
