V = 248, E = 300
out_asc_forward 2 [('167', '118'), ('55', '72')]
out_desc_forward 2 [('167', '118'), ('153', '193')]
in_asc_forward 2 [('167', '118'), ('153', '193')]
in_desc_forward 2 [('167', '118'), ('55', '72')]
random_forward 2 [('167', '118'), ('55', '72')]
greedy1_forward 2 [('167', '118'), ('55', '72')]
greedy2_forward 2 [('167', '118'), ('55', '72')]
out_asc_backward 2 [('167', '118'), ('157', '55')]
out_desc_backward 2 [('167', '118'), ('72', '153')]
in_asc_backward 2 [('167', '118'), ('72', '153')]
in_desc_backward 2 [('167', '118'), ('157', '55')]
random_backward 2 [('167', '118'), ('157', '55')]
greedy1_backward 2 [('167', '118'), ('157', '55')]
greedy2_backward 2 [('167', '118'), ('157', '55')]
Execution time: 0.006598472595214844 ms
