V = 150, E = 225
out_asc_forward 4 [('29', '124'), ('59', '146'), ('92', '142'), ('9', '28')]
out_desc_forward 4 [('147', '29'), ('146', '57'), ('142', '92'), ('109', '9')]
in_asc_forward 4 [('147', '29'), ('146', '57'), ('142', '92'), ('109', '9')]
in_desc_forward 4 [('29', '124'), ('59', '146'), ('92', '142'), ('9', '28')]
random_forward 4 [('29', '124'), ('34', '59'), ('142', '92'), ('36', '109')]
greedy1_forward 4 [('29', '124'), ('34', '59'), ('142', '92'), ('36', '109')]
greedy2_forward 4 [('29', '124'), ('34', '59'), ('142', '92'), ('36', '109')]
out_asc_backward 4 [('147', '29'), ('34', '59'), ('142', '92'), ('109', '9')]
out_desc_backward 4 [('124', '147'), ('59', '146'), ('92', '142'), ('36', '109')]
in_asc_backward 4 [('124', '147'), ('59', '146'), ('92', '142'), ('36', '109')]
in_desc_backward 4 [('147', '29'), ('34', '59'), ('142', '92'), ('109', '9')]
random_backward 4 [('147', '29'), ('46', '34'), ('92', '142'), ('28', '36')]
greedy1_backward 4 [('147', '29'), ('46', '34'), ('92', '142'), ('28', '36')]
greedy2_backward 4 [('147', '29'), ('46', '34'), ('92', '142'), ('28', '36')]
Execution time: 0.0038187503814697266 ms
