V = 407, E = 452
out_asc_forward 2 [('311', '120'), ('3', '203')]
out_desc_forward 2 [('311', '120'), ('401', '130')]
in_asc_forward 2 [('311', '120'), ('401', '130')]
in_desc_forward 2 [('311', '120'), ('3', '203')]
random_forward 2 [('311', '120'), ('457', '7')]
greedy1_forward 2 [('311', '120'), ('457', '7')]
greedy2_forward 2 [('311', '120'), ('457', '7')]
out_asc_backward 2 [('311', '120'), ('187', '3')]
out_desc_backward 2 [('311', '120'), ('274', '401')]
in_asc_backward 2 [('311', '120'), ('274', '401')]
in_desc_backward 2 [('311', '120'), ('187', '3')]
random_backward 2 [('311', '120'), ('201', '457')]
greedy1_backward 2 [('311', '120'), ('201', '457')]
greedy2_backward 2 [('311', '120'), ('201', '457')]
Execution time: 0.011748790740966797 ms
