V = 45, E = 49
out_asc_forward 3 [('32', '50'), ('17', '40'), ('3', '11')]
out_desc_forward 3 [('32', '50'), ('17', '40'), ('44', '6')]
in_asc_forward 3 [('32', '50'), ('17', '40'), ('44', '6')]
in_desc_forward 3 [('32', '50'), ('17', '40'), ('3', '11')]
random_forward 3 [('32', '50'), ('17', '40'), ('3', '11')]
greedy1_forward 3 [('32', '50'), ('17', '40'), ('3', '11')]
greedy2_forward 3 [('32', '50'), ('17', '40'), ('3', '11')]
out_asc_backward 3 [('32', '50'), ('17', '40'), ('49', '3')]
out_desc_backward 3 [('32', '50'), ('17', '40'), ('11', '44')]
in_asc_backward 3 [('32', '50'), ('17', '40'), ('11', '44')]
in_desc_backward 3 [('32', '50'), ('17', '40'), ('49', '3')]
random_backward 3 [('32', '50'), ('17', '40'), ('49', '3')]
greedy1_backward 3 [('32', '50'), ('17', '40'), ('49', '3')]
greedy2_backward 3 [('32', '50'), ('17', '40'), ('49', '3')]
Execution time: 0.0012362003326416016 ms
