V = 70, E = 72
out_asc_forward 3 [('24', '30'), ('61', '71'), ('55', '49')]
out_desc_forward 3 [('24', '30'), ('61', '71'), ('49', '42')]
in_asc_forward 3 [('24', '30'), ('61', '71'), ('49', '42')]
in_desc_forward 3 [('24', '30'), ('61', '71'), ('55', '49')]
random_forward 3 [('24', '30'), ('61', '71'), ('49', '42')]
greedy1_forward 3 [('24', '30'), ('61', '71'), ('49', '42')]
greedy2_forward 3 [('24', '30'), ('61', '71'), ('49', '42')]
out_asc_backward 3 [('24', '30'), ('61', '71'), ('42', '55')]
out_desc_backward 3 [('24', '30'), ('61', '71'), ('55', '49')]
in_asc_backward 3 [('24', '30'), ('61', '71'), ('55', '49')]
in_desc_backward 3 [('24', '30'), ('61', '71'), ('42', '55')]
random_backward 3 [('24', '30'), ('61', '71'), ('55', '49')]
greedy1_backward 3 [('24', '30'), ('61', '71'), ('55', '49')]
greedy2_backward 3 [('24', '30'), ('61', '71'), ('55', '49')]
Execution time: 0.0014917850494384766 ms
