V = 552, E = 612
out_asc_forward 3 [('10', '393'), ('339', '343'), ('372', '394')]
out_desc_forward 3 [('10', '393'), ('561', '339'), ('479', '372')]
in_asc_forward 3 [('10', '393'), ('561', '339'), ('479', '372')]
in_desc_forward 3 [('10', '393'), ('339', '343'), ('372', '394')]
random_forward 3 [('10', '393'), ('343', '561'), ('372', '394')]
greedy1_forward 3 [('10', '393'), ('343', '561'), ('372', '394')]
greedy2_forward 3 [('10', '393'), ('343', '561'), ('372', '394')]
out_asc_backward 3 [('10', '393'), ('561', '339'), ('479', '372')]
out_desc_backward 3 [('10', '393'), ('343', '561'), ('394', '479')]
in_asc_backward 3 [('10', '393'), ('343', '561'), ('394', '479')]
in_desc_backward 3 [('10', '393'), ('561', '339'), ('479', '372')]
random_backward 3 [('10', '393'), ('339', '343'), ('479', '372')]
greedy1_backward 3 [('10', '393'), ('339', '343'), ('479', '372')]
greedy2_backward 3 [('10', '393'), ('339', '343'), ('479', '372')]
Execution time: 0.0187838077545166 ms
