V = 464, E = 567
out_asc_forward 4 [('144', '405'), ('111', '497'), ('413', '362'), ('156', '494')]
out_desc_forward 4 [('144', '405'), ('136', '111'), ('362', '294'), ('525', '156')]
in_asc_forward 4 [('144', '405'), ('136', '111'), ('362', '294'), ('525', '156')]
in_desc_forward 4 [('144', '405'), ('111', '497'), ('413', '362'), ('156', '494')]
random_forward 4 [('144', '405'), ('136', '111'), ('458', '27'), ('156', '494')]
greedy1_forward 4 [('144', '405'), ('136', '111'), ('458', '27'), ('156', '494')]
greedy2_forward 4 [('144', '405'), ('136', '111'), ('458', '27'), ('156', '494')]
out_asc_backward 4 [('144', '405'), ('136', '111'), ('27', '413'), ('525', '156')]
out_desc_backward 4 [('144', '405'), ('39', '136'), ('413', '362'), ('494', '525')]
in_asc_backward 4 [('144', '405'), ('39', '136'), ('413', '362'), ('494', '525')]
in_desc_backward 4 [('144', '405'), ('136', '111'), ('27', '413'), ('525', '156')]
random_backward 4 [('144', '405'), ('39', '136'), ('219', '458'), ('525', '156')]
greedy1_backward 4 [('144', '405'), ('39', '136'), ('219', '458'), ('525', '156')]
greedy2_backward 4 [('144', '405'), ('39', '136'), ('219', '458'), ('525', '156')]
Execution time: 0.014915704727172852 ms
