V = 875, E = 875
out_asc_forward 2 [('233', '496'), ('647', '870')]
out_desc_forward 2 [('678', '662'), ('870', '647')]
in_asc_forward 2 [('678', '662'), ('870', '647')]
in_desc_forward 2 [('233', '496'), ('647', '870')]
random_forward 2 [('678', '662'), ('870', '647')]
greedy1_forward 2 [('678', '662'), ('870', '647')]
greedy2_forward 2 [('678', '662'), ('870', '647')]
out_asc_backward 2 [('662', '233'), ('870', '647')]
out_desc_backward 2 [('496', '678'), ('647', '870')]
in_asc_backward 2 [('496', '678'), ('647', '870')]
in_desc_backward 2 [('662', '233'), ('870', '647')]
random_backward 2 [('496', '678'), ('647', '870')]
greedy1_backward 2 [('496', '678'), ('647', '870')]
greedy2_backward 2 [('496', '678'), ('647', '870')]
Execution time: 0.017651796340942383 ms
