V = 697, E = 695
out_asc_forward 3 [('578', '246'), ('479', '373'), ('87', '665')]
out_desc_forward 3 [('578', '246'), ('373', '479'), ('661', '194')]
in_asc_forward 3 [('578', '246'), ('373', '479'), ('661', '194')]
in_desc_forward 3 [('578', '246'), ('479', '373'), ('87', '665')]
random_forward 3 [('578', '246'), ('373', '479'), ('187', '301')]
greedy1_forward 3 [('578', '246'), ('373', '479'), ('187', '301')]
greedy2_forward 3 [('578', '246'), ('373', '479'), ('187', '301')]
out_asc_backward 3 [('578', '246'), ('373', '479'), ('301', '87')]
out_desc_backward 3 [('578', '246'), ('479', '373'), ('665', '661')]
in_asc_backward 3 [('578', '246'), ('479', '373'), ('665', '661')]
in_desc_backward 3 [('578', '246'), ('373', '479'), ('301', '87')]
random_backward 3 [('578', '246'), ('479', '373'), ('194', '187')]
greedy1_backward 3 [('578', '246'), ('479', '373'), ('194', '187')]
greedy2_backward 3 [('578', '246'), ('479', '373'), ('194', '187')]
Execution time: 0.017377853393554688 ms
