V = 150, E = 150
out_asc_forward 2 [('145', '7'), ('57', '132')]
out_desc_forward 2 [('88', '145'), ('116', '114')]
in_asc_forward 2 [('88', '145'), ('116', '114')]
in_desc_forward 2 [('145', '7'), ('57', '132')]
random_forward 2 [('145', '7'), ('57', '132')]
greedy1_forward 2 [('145', '7'), ('57', '132')]
greedy2_forward 2 [('145', '7'), ('57', '132')]
out_asc_backward 2 [('88', '145'), ('114', '57')]
out_desc_backward 2 [('36', '88'), ('132', '116')]
in_asc_backward 2 [('36', '88'), ('132', '116')]
in_desc_backward 2 [('88', '145'), ('114', '57')]
random_backward 2 [('88', '145'), ('114', '57')]
greedy1_backward 2 [('88', '145'), ('114', '57')]
greedy2_backward 2 [('88', '145'), ('114', '57')]
Execution time: 0.0023910999298095703 ms
