V = 384, E = 468
out_asc_forward 4 [('319', '163'), ('62', '291'), ('18', '185'), ('27', '337')]
out_desc_forward 4 [('319', '163'), ('250', '62'), ('366', '139'), ('433', '322')]
in_asc_forward 4 [('319', '163'), ('250', '62'), ('366', '139'), ('433', '322')]
in_desc_forward 4 [('319', '163'), ('62', '291'), ('18', '185'), ('27', '337')]
random_forward 4 [('319', '163'), ('62', '291'), ('139', '18'), ('433', '322')]
greedy1_forward 4 [('319', '163'), ('62', '291'), ('139', '18'), ('433', '322')]
greedy2_forward 4 [('319', '163'), ('62', '291'), ('139', '18'), ('433', '322')]
out_asc_backward 4 [('319', '163'), ('250', '62'), ('139', '18'), ('233', '27')]
out_desc_backward 4 [('319', '163'), ('92', '250'), ('185', '366'), ('376', '433')]
in_asc_backward 4 [('319', '163'), ('92', '250'), ('185', '366'), ('376', '433')]
in_desc_backward 4 [('319', '163'), ('250', '62'), ('139', '18'), ('233', '27')]
random_backward 4 [('319', '163'), ('250', '62'), ('366', '139'), ('376', '433')]
greedy1_backward 4 [('319', '163'), ('250', '62'), ('366', '139'), ('376', '433')]
greedy2_backward 4 [('319', '163'), ('250', '62'), ('366', '139'), ('376', '433')]
Execution time: 0.013383865356445312 ms
