V = 372, E = 415
out_asc_forward 3 [('137', '408'), ('222', '31'), ('198', '116')]
out_desc_forward 3 [('149', '21'), ('149', '9'), ('312', '198')]
in_asc_forward 3 [('57', '149'), ('31', '149'), ('312', '198')]
in_desc_forward 3 [('149', '9'), ('149', '21'), ('198', '116')]
random_forward 3 [('222', '31'), ('137', '408'), ('198', '116')]
greedy1_forward 3 [('222', '31'), ('137', '408'), ('198', '116')]
greedy2_forward 3 [('222', '31'), ('137', '408'), ('198', '116')]
out_asc_backward 3 [('149', '9'), ('21', '222'), ('312', '198')]
out_desc_backward 3 [('57', '149'), ('31', '149'), ('370', '312')]
in_asc_backward 3 [('137', '408'), ('222', '31'), ('370', '312')]
in_desc_backward 3 [('31', '149'), ('57', '149'), ('312', '198')]
random_backward 3 [('21', '222'), ('9', '137'), ('312', '198')]
greedy1_backward 3 [('21', '222'), ('9', '137'), ('312', '198')]
greedy2_backward 3 [('21', '222'), ('9', '137'), ('312', '198')]
Execution time: 0.008404970169067383 ms
