V = 55, E = 64
out_asc_forward 3 [('1', '69'), ('6', '32'), ('7', '62')]
out_desc_forward 3 [('53', '1'), ('32', '6'), ('68', '7')]
in_asc_forward 3 [('53', '1'), ('32', '6'), ('68', '7')]
in_desc_forward 3 [('1', '69'), ('6', '32'), ('7', '62')]
random_forward 3 [('1', '69'), ('6', '32'), ('62', '56')]
greedy1_forward 3 [('1', '69'), ('6', '32'), ('62', '56')]
greedy2_forward 3 [('1', '69'), ('6', '32'), ('62', '56')]
out_asc_backward 3 [('53', '1'), ('32', '6'), ('68', '7')]
out_desc_backward 3 [('69', '53'), ('6', '32'), ('56', '68')]
in_asc_backward 3 [('69', '53'), ('6', '32'), ('56', '68')]
in_desc_backward 3 [('53', '1'), ('32', '6'), ('68', '7')]
random_backward 3 [('53', '1'), ('32', '6'), ('7', '62')]
greedy1_backward 3 [('53', '1'), ('32', '6'), ('7', '62')]
greedy2_backward 3 [('53', '1'), ('32', '6'), ('7', '62')]
Execution time: 0.002750873565673828 ms
