V = 37, E = 47
out_asc_forward 3 [('1', '39'), ('31', '23'), ('27', '15')]
out_desc_forward 3 [('24', '17'), ('23', '19'), ('15', '11')]
in_asc_forward 3 [('24', '17'), ('23', '19'), ('15', '11')]
in_desc_forward 3 [('1', '39'), ('31', '23'), ('27', '15')]
random_forward 3 [('18', '1'), ('23', '19'), ('11', '27')]
greedy1_forward 3 [('18', '1'), ('23', '19'), ('11', '27')]
greedy2_forward 3 [('18', '1'), ('23', '19'), ('11', '27')]
out_asc_backward 3 [('18', '1'), ('19', '31'), ('11', '27')]
out_desc_backward 3 [('39', '24'), ('31', '23'), ('27', '15')]
in_asc_backward 3 [('39', '24'), ('31', '23'), ('27', '15')]
in_desc_backward 3 [('18', '1'), ('19', '31'), ('11', '27')]
random_backward 3 [('36', '18'), ('31', '23'), ('15', '11')]
greedy1_backward 3 [('36', '18'), ('31', '23'), ('15', '11')]
greedy2_backward 3 [('36', '18'), ('31', '23'), ('15', '11')]
Execution time: 0.002396821975708008 ms
