V = 150, E = 165
out_asc_forward 4 [('2', '44'), ('31', '94'), ('71', '69'), ('121', '98')]
out_desc_forward 4 [('42', '2'), ('125', '66'), ('69', '71'), ('95', '48')]
in_asc_forward 4 [('42', '2'), ('125', '66'), ('69', '71'), ('95', '48')]
in_desc_forward 4 [('2', '44'), ('31', '94'), ('71', '69'), ('121', '98')]
random_forward 4 [('8', '41'), ('94', '125'), ('69', '71'), ('95', '48')]
greedy1_forward 4 [('8', '41'), ('94', '125'), ('69', '71'), ('95', '48')]
greedy2_forward 4 [('8', '41'), ('94', '125'), ('69', '71'), ('95', '48')]
out_asc_backward 4 [('42', '2'), ('66', '31'), ('69', '71'), ('48', '121')]
out_desc_backward 4 [('120', '42'), ('94', '125'), ('71', '69'), ('98', '95')]
in_asc_backward 4 [('120', '42'), ('94', '125'), ('71', '69'), ('98', '95')]
in_desc_backward 4 [('42', '2'), ('66', '31'), ('69', '71'), ('48', '121')]
random_backward 4 [('44', '8'), ('31', '94'), ('71', '69'), ('98', '95')]
greedy1_backward 4 [('44', '8'), ('31', '94'), ('71', '69'), ('98', '95')]
greedy2_backward 4 [('44', '8'), ('31', '94'), ('71', '69'), ('98', '95')]
Execution time: 0.003555774688720703 ms
