V = 110, E = 110
out_asc_forward 2 [('2', '35'), ('3', '34')]
out_desc_forward 2 [('73', '2'), ('101', '3')]
in_asc_forward 2 [('73', '2'), ('101', '3')]
in_desc_forward 2 [('2', '35'), ('3', '34')]
random_forward 2 [('2', '35'), ('3', '34')]
greedy1_forward 2 [('2', '35'), ('3', '34')]
greedy2_forward 2 [('2', '35'), ('3', '34')]
out_asc_backward 2 [('73', '2'), ('101', '3')]
out_desc_backward 2 [('106', '73'), ('13', '101')]
in_asc_backward 2 [('106', '73'), ('13', '101')]
in_desc_backward 2 [('73', '2'), ('101', '3')]
random_backward 2 [('73', '2'), ('101', '3')]
greedy1_backward 2 [('73', '2'), ('101', '3')]
greedy2_backward 2 [('73', '2'), ('101', '3')]
Execution time: 0.0020322799682617188 ms
