V = 460, E = 506
out_asc_forward 3 [('106', '157'), ('48', '348'), ('87', '183')]
out_desc_forward 3 [('250', '296'), ('323', '48'), ('183', '87')]
in_asc_forward 3 [('250', '296'), ('323', '48'), ('183', '87')]
in_desc_forward 3 [('106', '157'), ('48', '348'), ('87', '183')]
random_forward 3 [('157', '250'), ('323', '48'), ('183', '87')]
greedy1_forward 3 [('157', '250'), ('323', '48'), ('183', '87')]
greedy2_forward 3 [('157', '250'), ('323', '48'), ('183', '87')]
out_asc_backward 3 [('94', '106'), ('323', '48'), ('183', '87')]
out_desc_backward 3 [('157', '250'), ('348', '323'), ('87', '183')]
in_asc_backward 3 [('157', '250'), ('348', '323'), ('87', '183')]
in_desc_backward 3 [('94', '106'), ('323', '48'), ('183', '87')]
random_backward 3 [('106', '157'), ('348', '323'), ('87', '183')]
greedy1_backward 3 [('106', '157'), ('348', '323'), ('87', '183')]
greedy2_backward 3 [('106', '157'), ('348', '323'), ('87', '183')]
Execution time: 0.013164758682250977 ms
