V = 360, E = 432
out_asc_forward 3 [('23', '92'), ('6', '214'), ('70', '193')]
out_desc_forward 3 [('342', '191'), ('272', '25'), ('193', '70')]
in_asc_forward 3 [('342', '191'), ('272', '25'), ('193', '70')]
in_desc_forward 3 [('23', '92'), ('6', '214'), ('70', '193')]
random_forward 3 [('342', '191'), ('214', '80'), ('70', '193')]
greedy1_forward 3 [('342', '191'), ('214', '80'), ('70', '193')]
greedy2_forward 3 [('342', '191'), ('214', '80'), ('70', '193')]
out_asc_backward 3 [('75', '23'), ('178', '6'), ('193', '70')]
out_desc_backward 3 [('180', '342'), ('252', '272'), ('70', '193')]
in_asc_backward 3 [('180', '342'), ('252', '272'), ('70', '193')]
in_desc_backward 3 [('75', '23'), ('178', '6'), ('193', '70')]
random_backward 3 [('180', '342'), ('6', '214'), ('193', '70')]
greedy1_backward 3 [('180', '342'), ('6', '214'), ('193', '70')]
greedy2_backward 3 [('180', '342'), ('6', '214'), ('193', '70')]
Execution time: 0.01065826416015625 ms
