V = 762, E = 757
out_asc_forward 2 [('647', '870'), ('233', '496')]
out_desc_forward 2 [('647', '870'), ('678', '662')]
in_asc_forward 2 [('647', '870'), ('678', '662')]
in_desc_forward 2 [('647', '870'), ('233', '496')]
random_forward 2 [('647', '870'), ('678', '662')]
greedy1_forward 2 [('647', '870'), ('678', '662')]
greedy2_forward 2 [('647', '870'), ('678', '662')]
out_asc_backward 2 [('647', '870'), ('662', '233')]
out_desc_backward 2 [('647', '870'), ('496', '678')]
in_asc_backward 2 [('647', '870'), ('496', '678')]
in_desc_backward 2 [('647', '870'), ('662', '233')]
random_backward 2 [('647', '870'), ('496', '678')]
greedy1_backward 2 [('647', '870'), ('496', '678')]
greedy2_backward 2 [('647', '870'), ('496', '678')]
Execution time: 0.01854729652404785 ms
