V = 150, E = 165
out_asc_forward 2 [('66', '42'), ('21', '42')]
out_desc_forward 2 [('42', '115'), ('42', '85')]
in_asc_forward 2 [('45', '27'), ('85', '21')]
in_desc_forward 2 [('42', '85'), ('42', '115')]
random_forward 2 [('66', '42'), ('42', '85')]
greedy1_forward 2 [('66', '42'), ('42', '85')]
greedy2_forward 2 [('66', '42'), ('42', '85')]
out_asc_backward 2 [('45', '27'), ('85', '21')]
out_desc_backward 2 [('21', '42'), ('66', '42')]
in_asc_backward 2 [('42', '115'), ('42', '85')]
in_desc_backward 2 [('66', '42'), ('21', '42')]
random_backward 2 [('42', '115'), ('21', '42')]
greedy1_backward 2 [('42', '115'), ('21', '42')]
greedy2_backward 2 [('42', '115'), ('21', '42')]
Execution time: 0.0033178329467773438 ms
