V = 20, E = 30
out_asc_forward 3 [('1', '5'), ('2', '8'), ('6', '15')]
out_desc_forward 3 [('5', '1'), ('10', '4'), ('14', '6')]
in_asc_forward 3 [('5', '1'), ('10', '4'), ('14', '6')]
in_desc_forward 3 [('1', '5'), ('2', '8'), ('6', '15')]
random_forward 3 [('1', '5'), ('8', '10'), ('6', '15')]
greedy1_forward 3 [('1', '5'), ('8', '10'), ('6', '15')]
greedy2_forward 3 [('1', '5'), ('8', '10'), ('6', '15')]
out_asc_backward 3 [('5', '1'), ('4', '2'), ('14', '6')]
out_desc_backward 3 [('1', '5'), ('8', '10'), ('15', '14')]
in_asc_backward 3 [('1', '5'), ('8', '10'), ('15', '14')]
in_desc_backward 3 [('5', '1'), ('4', '2'), ('14', '6')]
random_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
greedy1_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
greedy2_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
Execution time: 0.0019145011901855469 ms
