V = 130, E = 130
out_asc_forward 3 [('49', '124'), ('52', '70'), ('91', '115')]
out_desc_forward 3 [('124', '49'), ('70', '52'), ('115', '91')]
in_asc_forward 3 [('124', '49'), ('70', '52'), ('115', '91')]
in_desc_forward 3 [('49', '124'), ('52', '70'), ('91', '115')]
random_forward 3 [('124', '49'), ('52', '70'), ('91', '115')]
greedy1_forward 3 [('124', '49'), ('52', '70'), ('91', '115')]
greedy2_forward 3 [('124', '49'), ('52', '70'), ('91', '115')]
out_asc_backward 3 [('124', '49'), ('70', '52'), ('115', '91')]
out_desc_backward 3 [('49', '124'), ('52', '70'), ('91', '115')]
in_asc_backward 3 [('49', '124'), ('52', '70'), ('91', '115')]
in_desc_backward 3 [('124', '49'), ('70', '52'), ('115', '91')]
random_backward 3 [('49', '124'), ('70', '52'), ('115', '91')]
greedy1_backward 3 [('49', '124'), ('70', '52'), ('115', '91')]
greedy2_backward 3 [('49', '124'), ('70', '52'), ('115', '91')]
Execution time: 0.0031871795654296875 ms
