V = 848, E = 944
out_asc_forward 3 [('51', '60'), ('573', '585'), ('258', '655')]
out_desc_forward 3 [('388', '161'), ('932', '492'), ('829', '258')]
in_asc_forward 3 [('388', '161'), ('932', '492'), ('829', '258')]
in_desc_forward 3 [('51', '60'), ('573', '585'), ('258', '655')]
random_forward 3 [('715', '763'), ('573', '585'), ('829', '258')]
greedy1_forward 3 [('715', '763'), ('573', '585'), ('829', '258')]
greedy2_forward 3 [('715', '763'), ('573', '585'), ('829', '258')]
out_asc_backward 3 [('161', '51'), ('492', '573'), ('829', '258')]
out_desc_backward 3 [('650', '388'), ('728', '932'), ('718', '829')]
in_asc_backward 3 [('650', '388'), ('728', '932'), ('718', '829')]
in_desc_backward 3 [('161', '51'), ('492', '573'), ('829', '258')]
random_backward 3 [('732', '715'), ('492', '573'), ('718', '829')]
greedy1_backward 3 [('732', '715'), ('492', '573'), ('718', '829')]
greedy2_backward 3 [('732', '715'), ('492', '573'), ('718', '829')]
Execution time: 0.03435206413269043 ms
