V = 300, E = 300
out_asc_forward 2 [('26', '277'), ('257', '39')]
out_desc_forward 2 [('227', '26'), ('39', '257')]
in_asc_forward 2 [('227', '26'), ('39', '257')]
in_desc_forward 2 [('26', '277'), ('257', '39')]
random_forward 2 [('26', '277'), ('39', '257')]
greedy1_forward 2 [('26', '277'), ('39', '257')]
greedy2_forward 2 [('26', '277'), ('39', '257')]
out_asc_backward 2 [('227', '26'), ('39', '257')]
out_desc_backward 2 [('277', '227'), ('257', '39')]
in_asc_backward 2 [('277', '227'), ('257', '39')]
in_desc_backward 2 [('227', '26'), ('39', '257')]
random_backward 2 [('227', '26'), ('257', '39')]
greedy1_backward 2 [('227', '26'), ('257', '39')]
greedy2_backward 2 [('227', '26'), ('257', '39')]
Execution time: 0.0064525604248046875 ms
