V = 404, E = 448
out_asc_forward 3 [('87', '183'), ('106', '157'), ('48', '348')]
out_desc_forward 3 [('87', '183'), ('126', '94'), ('323', '48')]
in_asc_forward 3 [('87', '183'), ('126', '94'), ('323', '48')]
in_desc_forward 3 [('87', '183'), ('106', '157'), ('48', '348')]
random_forward 3 [('87', '183'), ('126', '94'), ('48', '348')]
greedy1_forward 3 [('87', '183'), ('126', '94'), ('48', '348')]
greedy2_forward 3 [('87', '183'), ('126', '94'), ('48', '348')]
out_asc_backward 3 [('87', '183'), ('94', '106'), ('323', '48')]
out_desc_backward 3 [('87', '183'), ('296', '126'), ('348', '323')]
in_asc_backward 3 [('87', '183'), ('296', '126'), ('348', '323')]
in_desc_backward 3 [('87', '183'), ('94', '106'), ('323', '48')]
random_backward 3 [('87', '183'), ('296', '126'), ('323', '48')]
greedy1_backward 3 [('87', '183'), ('296', '126'), ('323', '48')]
greedy2_backward 3 [('87', '183'), ('296', '126'), ('323', '48')]
Execution time: 0.014852285385131836 ms
