V = 125, E = 125
out_asc_forward 2 [('5', '115'), ('59', '82')]
out_desc_forward 2 [('65', '15'), ('82', '59')]
in_asc_forward 2 [('65', '15'), ('82', '59')]
in_desc_forward 2 [('5', '115'), ('59', '82')]
random_forward 2 [('115', '65'), ('59', '82')]
greedy1_forward 2 [('115', '65'), ('59', '82')]
greedy2_forward 2 [('115', '65'), ('59', '82')]
out_asc_backward 2 [('50', '5'), ('82', '59')]
out_desc_backward 2 [('115', '65'), ('59', '82')]
in_asc_backward 2 [('115', '65'), ('59', '82')]
in_desc_backward 2 [('50', '5'), ('82', '59')]
random_backward 2 [('5', '115'), ('82', '59')]
greedy1_backward 2 [('5', '115'), ('82', '59')]
greedy2_backward 2 [('5', '115'), ('82', '59')]
Execution time: 0.0025680065155029297 ms
