V = 310, E = 310
out_asc_forward 5 [('283', '199'), ('229', '294'), ('242', '305'), ('13', '111'), ('130', '202')]
out_desc_forward 5 [('199', '191'), ('291', '31'), ('267', '104'), ('111', '13'), ('202', '130')]
in_asc_forward 5 [('199', '191'), ('291', '31'), ('267', '104'), ('111', '13'), ('202', '130')]
in_desc_forward 5 [('283', '199'), ('229', '294'), ('242', '305'), ('13', '111'), ('130', '202')]
random_forward 5 [('191', '283'), ('211', '229'), ('104', '247'), ('13', '111'), ('202', '130')]
greedy1_forward 5 [('191', '283'), ('211', '229'), ('104', '247'), ('13', '111'), ('202', '130')]
greedy2_forward 5 [('191', '283'), ('211', '229'), ('104', '247'), ('13', '111'), ('202', '130')]
out_asc_backward 5 [('191', '283'), ('211', '229'), ('95', '242'), ('111', '13'), ('202', '130')]
out_desc_backward 5 [('283', '199'), ('294', '291'), ('164', '267'), ('13', '111'), ('130', '202')]
in_asc_backward 5 [('283', '199'), ('294', '291'), ('164', '267'), ('13', '111'), ('130', '202')]
in_desc_backward 5 [('191', '283'), ('211', '229'), ('95', '242'), ('111', '13'), ('202', '130')]
random_backward 5 [('199', '191'), ('31', '211'), ('267', '104'), ('111', '13'), ('130', '202')]
greedy1_backward 5 [('199', '191'), ('31', '211'), ('267', '104'), ('111', '13'), ('130', '202')]
greedy2_backward 5 [('199', '191'), ('31', '211'), ('267', '104'), ('111', '13'), ('130', '202')]
Execution time: 0.0066263675689697266 ms
