V = 295, E = 288
out_asc_forward 5 [('213', '348'), ('330', '94'), ('304', '48'), ('40', '97'), ('290', '178')]
out_desc_forward 5 [('213', '348'), ('330', '94'), ('283', '206'), ('257', '40'), ('223', '290')]
in_asc_forward 5 [('213', '348'), ('330', '94'), ('283', '206'), ('257', '40'), ('223', '290')]
in_desc_forward 5 [('213', '348'), ('330', '94'), ('304', '48'), ('40', '97'), ('290', '178')]
random_forward 5 [('213', '348'), ('330', '94'), ('206', '146'), ('257', '40'), ('290', '178')]
greedy1_forward 5 [('213', '348'), ('330', '94'), ('206', '146'), ('257', '40'), ('290', '178')]
greedy2_forward 5 [('213', '348'), ('330', '94'), ('206', '146'), ('257', '40'), ('290', '178')]
out_asc_backward 5 [('213', '348'), ('330', '94'), ('250', '304'), ('257', '40'), ('223', '290')]
out_desc_backward 5 [('213', '348'), ('330', '94'), ('48', '283'), ('268', '257'), ('178', '223')]
in_asc_backward 5 [('213', '348'), ('330', '94'), ('48', '283'), ('268', '257'), ('178', '223')]
in_desc_backward 5 [('213', '348'), ('330', '94'), ('250', '304'), ('257', '40'), ('223', '290')]
random_backward 5 [('213', '348'), ('330', '94'), ('283', '206'), ('268', '257'), ('223', '290')]
greedy1_backward 5 [('213', '348'), ('330', '94'), ('283', '206'), ('268', '257'), ('223', '290')]
greedy2_backward 5 [('213', '348'), ('330', '94'), ('283', '206'), ('268', '257'), ('223', '290')]
Execution time: 0.010614156723022461 ms
