V = 370, E = 370
out_asc_forward 2 [('159', '311'), ('208', '294')]
out_desc_forward 2 [('311', '159'), ('365', '208')]
in_asc_forward 2 [('311', '159'), ('365', '208')]
in_desc_forward 2 [('159', '311'), ('208', '294')]
random_forward 2 [('311', '159'), ('208', '294')]
greedy1_forward 2 [('311', '159'), ('208', '294')]
greedy2_forward 2 [('311', '159'), ('208', '294')]
out_asc_backward 2 [('311', '159'), ('365', '208')]
out_desc_backward 2 [('159', '311'), ('294', '365')]
in_asc_backward 2 [('159', '311'), ('294', '365')]
in_desc_backward 2 [('311', '159'), ('365', '208')]
random_backward 2 [('159', '311'), ('365', '208')]
greedy1_backward 2 [('159', '311'), ('365', '208')]
greedy2_backward 2 [('159', '311'), ('365', '208')]
Execution time: 0.00822305679321289 ms
